Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,1,0,0,3635,0,0,6742,6742,39,161,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,2,0,0,3451,0,184,6742,6926,39,161,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,3,0,0,3260,0,191,6742,7117,39,161,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,4,0,0,3066,0,194,6742,7311,39,161,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,5,0,0,2733,0,333,6742,7644,39,161,,,,,,,,,,,,,,,
Meath West,Cassells,Shane,,6,0,6,2153,0,580,6742,8224,39,161,,,,,,,,,,,,,,,
Meath West,English,Damien,,1,0,0,4878,0,0,5499,5499,39,162,,,,,,,,,,,,,,,
Meath West,English,Damien,,2,0,0,4773,0,105,5499,5604,39,162,,,,,,,,,,,,,,,
Meath West,English,Damien,,3,0,0,3864,0,909,5499,6513,39,162,,,,,,,,,,,,,,,
Meath West,English,Damien,,4,0,0,3575,0,289,5499,6802,39,162,,,,,,,,,,,,,,,
Meath West,English,Damien,,5,0,0,1678,0,1897,5499,8699,39,162,,,,,,,,,,,,,,,
Meath West,English,Damien,Elected,6,0,6,819,0,859,5499,9558,39,162,,,,,,,,,,,,,,,
Meath West,French,Noel,,1,0,0,7425,0,0,2952,2952,39,163,,,,,,,,,,,,,,,
Meath West,French,Noel,,2,0,0,7371,0,54,2952,3006,39,163,,,,,,,,,,,,,,,
Meath West,French,Noel,,3,0,0,7016,0,355,2952,3361,39,163,,,,,,,,,,,,,,,
Meath West,French,Noel,,4,0,0,6843,0,173,2952,3534,39,163,,,,,,,,,,,,,,,
Meath West,French,Noel,Excluded,5,0,5,0,0,-3534,2952,0,39,163,,,,,,,,,,,,,,,
Meath West,French,Noel,Excluded,6,0,5,0,0,0,2952,0,39,163,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,1,0,1,0,0,0,12652,12652,39,164,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,2,949,1,0,0,-2275,12652,10377,39,164,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,3,949,1,0,0,0,12652,10377,39,164,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,4,949,1,0,0,0,12652,10377,39,164,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,5,949,1,0,0,0,12652,10377,39,164,,,,,,,,,,,,,,,
Meath West,Guirke,Johnny,Elected,6,949,1,0,0,0,12652,10377,39,164,,,,,,,,,,,,,,,
Meath West,Malone,John,,1,0,0,10168,2386,0,209,209,39,165,,,,,,,,,,,,,,,
Meath West,Malone,John,,2,0,0,10087,2305,81,209,290,39,165,,,,,,,,,,,,,,,
Meath West,Malone,John,Excluded,3,0,3,0,2305,-290,209,0,39,165,,,,,,,,,,,,,,,
Meath West,Malone,John,Excluded,4,0,3,0,2305,0,209,0,39,165,,,,,,,,,,,,,,,
Meath West,Malone,John,Excluded,5,0,3,0,2305,0,209,0,39,165,,,,,,,,,,,,,,,
Meath West,Malone,John,Excluded,6,0,3,0,2305,0,209,0,39,165,,,,,,,,,,,,,,,
Meath West,McMenamin,Seamus,,1,0,0,8442,660,0,1935,1935,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,McMenamin,Seamus,,2,0,0,8153,371,289,1935,2224,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,McMenamin,Seamus,,3,0,0,7997,215,156,1935,2380,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,McMenamin,Seamus,Excluded,4,0,4,0,215,-2380,1935,0,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,McMenamin,Seamus,Excluded,5,0,4,0,215,0,1935,0,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,McMenamin,Seamus,Excluded,6,0,4,0,215,0,1935,0,39,166,,,,,,,,,,,,166,39,An Mhí Thiar,0.7502
Meath West,Moore,Ronan,,1,0,0,8001,219,0,2376,2376,39,167,,,,,,,,,,,,,,,
Meath West,Moore,Ronan,,2,0,0,7446,0,555,2376,2931,39,167,,,,,,,,,,,,,,,
Meath West,Moore,Ronan,,3,0,0,7332,0,114,2376,3045,39,167,,,,,,,,,,,,,,,
Meath West,Moore,Ronan,,4,0,0,6236,0,1096,2376,4141,39,167,,,,,,,,,,,,,,,
Meath West,Moore,Ronan,,5,0,0,5808,0,428,2376,4569,39,167,,,,,,,,,,,,,,,
Meath West,Moore,Ronan,Excluded,6,0,6,0,0,-4569,2376,0,39,167,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,,1,0,0,8560,778,0,1817,1817,39,168,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,,2,0,0,8480,698,80,1817,1897,39,168,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,Excluded,3,0,3,0,698,-1897,1817,0,39,168,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,Excluded,4,0,3,0,698,0,1817,0,39,168,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,Excluded,5,0,3,0,698,0,1817,0,39,168,,,,,,,,,,,,,,,
Meath West,Reilly,Sarah,Excluded,6,0,3,0,698,0,1817,0,39,168,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,,1,0,0,3055,0,0,7322,7322,39,169,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,,2,0,0,2128,0,927,7322,8249,39,169,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,,3,0,0,1761,0,367,7322,8616,39,169,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,,4,0,0,1302,0,459,7322,9075,39,169,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,,5,0,0,663,0,639,7322,9714,39,169,,,,,,,,,,,,,,,
Meath West,Tóibín,Peadar,Elected,6,0,6,0,0,1696,7322,11410,39,169,,,,,,,,,,,,,,,
